title,url
"Andrew Huberman: Sleep, Dreams, Creativity, Fasting, and Neuroplasticity | Lex Fridman Podcast #164",https://www.youtube.com/watch?v=ClxRHJPz8aQ
Jimmy Pedro: Judo and the Forging of Champions | Lex Fridman Podcast #236,https://www.youtube.com/watch?v=uy1fX2vOAEE
Richard Wolff: Marxism and Communism | Lex Fridman Podcast #295,https://www.youtube.com/watch?v=o0Bi-q89j5Y
Rohit Prasad: Amazon Alexa and Conversational AI | Lex Fridman Podcast #57,https://www.youtube.com/watch?v=Ad89JYS-uZM
Joscha Bach: Artificial Consciousness and the Nature of Reality | Lex Fridman Podcast #101,https://www.youtube.com/watch?v=P-2P3MSZrBM
Nick Bostrom: Simulation and Superintelligence | Lex Fridman Podcast #83,https://www.youtube.com/watch?v=rfKiTGj-zeQ
Jay McClelland: Neural Networks and the Emergence of Cognition | Lex Fridman Podcast #222,https://www.youtube.com/watch?v=Ui38ZzTymDY
Andrew Bustamante: CIA Spy | Lex Fridman Podcast #310,https://www.youtube.com/watch?v=T3FC7qIAGZk
"Matt Botvinick: Neuroscience, Psychology, and AI at DeepMind | Lex Fridman Podcast #106",https://www.youtube.com/watch?v=3t06ajvBtl0
Matt Walker: Sleep | Lex Fridman Podcast #210,https://www.youtube.com/watch?v=Hc4XvHTlW3s
